categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;hora_redondeada;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto;Column1;_1
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;20/08/2021;00:00;12:00:00 AM;8;VILLA LUGANO;;;-34.68367998;-58.48639497;Operador UGIS;;Cerrado;24/08/2021;0:00:00;;
ARBOLADO Y ESPACIOS VERDES;PODA DE ÁRBOL Y DESPEJE DE LUMINARIA;PODA DE ÁRBOL/DESPEJE DE LUMINARIA O SEMÁFORO;Solicitud;24/08/2021;00:00;12:00:00 AM;15;PARQUE CHAS;CONSTANTINOPLA;3110;-34.58531821;-58.48319917;GCS Web;Femenino;Abierto;;;;
CALLES Y VEREDAS;REPARACIÓN DE VEREDA;REPARACIÓN DE VEREDA;Solicitud;22/08/2021;00:00;12:00:00 AM;6;CABALLITO;AMBERES;770;-34.61493015;-58.45195595;GCS Web;Masculino;Cerrado;26/08/2021;0:00:00;;
TRÁNSITO;VEHÍCULOS ABANDONADOS;REMOCIÓN DE VEHÍCULO / AUTO ABANDONADO;Solicitud;24/08/2021;00:00;12:00:00 AM;12;VILLA URQUIZA;ANDONAEGUI;2683;-34.57415381;-58.49154308;GCS Web;Masculino;Cerrado;27/08/2021;0:00:00;;
CALLES Y VEREDAS;REPARACIÓN DE VEREDA;REPARACIÓN DE VEREDA;Solicitud;24/08/2021;00:00;12:00:00 AM;9;LINIERS;MOLINA;1336;-34.653832;-58.5232613;App BA 147;Masculino;Abierto;;;;
ARBOLADO Y ESPACIOS VERDES;PODA DE ÁRBOL Y DESPEJE DE LUMINARIA;PODA DE ÁRBOL/DESPEJE DE LUMINARIA O SEMÁFORO;Solicitud;20/08/2021;00:01;12:00:00 AM;9;LINIERS;MONTIEL;1188;-34.65211783;-58.5245979;App BA 147;Masculino;Abierto;;;;
BARRIOS EMERGENTES;DESAGOTE;DESAGOTE DE POZO CIEGO (ATMOSFÉRICO);Solicitud;20/08/2021;00:01;12:00:00 AM;8;VILLA LUGANO;;;-34.68367998;-58.48639497;Operador UGIS;;Cerrado;24/08/2021;0:00:00;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;21/08/2021;00:01;12:00:00 AM;10;VILLA LURO;CERVANTES;101;-34.63585235;-58.49525364;App Denuncia Vial;Masculino;Abierto;;;;
SEGURIDAD;OTROS;MAYOR PRESENCIA POLICIAL;Reporte;20/08/2021;00:01;12:00:00 AM;15;VILLA CRESPO;BATALLA DEL PARI;1006;-34.60298767;-58.45714458;App BA 147;Femenino;Abierto;;;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;19/08/2021;00:01;12:00:00 AM;11;VILLA DEL PARQUE;LOZANO; PEDRO;2982;-34.59965388;-58.49231792;GCS Web;Masculino;Cerrado;20/08/2021;0:00:00;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;21/08/2021;00:01;12:00:00 AM;15;PARQUE CHAS;MORLOTE;933;-34.58882184;-58.47357863;App BA 147;Femenino;Abierto;;;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;24/08/2021;00:01;12:00:00 AM;11;VILLA DEL PARQUE;HELGUERA;3281;-34.59895236;-58.49512478;GCS Web;Femenino;Cerrado;26/08/2021;0:00:00;;
