from,to,value
App BA 147,ALUMBRADO,4868
App BA 147,ARBOLADO Y ESPACIOS VERDES,5643
App BA 147,BARRIOS EMERGENTES,6102
App BA 147,CALLES Y VEREDAS,5817
App BA 147,FISCALIZACIÓN ACTIVIDADES COMERCIALES,4792
App BA 147,LIMPIEZA Y RECOLECCIÓN,4609
App BA 147,ORDENAMIENTO DEL ESPACIO PÚBLICO,4796
App BA 147,RECICLADO Y PROTECCIÓN AMBIENTAL,9058
App BA 147,TRÁMITES Y SERVICIOS,4650
App BA 147,TRÁNSITO,4817
App BA 147,OTROS,32573
Boti,ALUMBRADO,1382
Boti,ARBOLADO Y ESPACIOS VERDES,2157
Boti,BARRIOS EMERGENTES,2616
Boti,CALLES Y VEREDAS,2331
Boti,FISCALIZACIÓN ACTIVIDADES COMERCIALES,1310
Boti,LIMPIEZA Y RECOLECCIÓN,5572
Boti,ORDENAMIENTO DEL ESPACIO PÚBLICO,1331
Boti,RECICLADO Y PROTECCIÓN AMBIENTAL,1432
Boti,TRÁMITES Y SERVICIOS,1509
Boti,TRÁNSITO,5011
Boti,OTROS,8171
Comuna,ALUMBRADO,346
Comuna,ARBOLADO Y ESPACIOS VERDES,1121
Comuna,BARRIOS EMERGENTES,1580
Comuna,CALLES Y VEREDAS,1295
Comuna,FISCALIZACIÓN ACTIVIDADES COMERCIALES,274
Comuna,LIMPIEZA Y RECOLECCIÓN,4536
Comuna,ORDENAMIENTO DEL ESPACIO PÚBLICO,295
Comuna,RECICLADO Y PROTECCIÓN AMBIENTAL,396
Comuna,TRÁMITES Y SERVICIOS,473
Comuna,TRÁNSITO,3975
Comuna,OTROS,919
GCS Web,ALUMBRADO,5037
GCS Web,ARBOLADO Y ESPACIOS VERDES,5812
GCS Web,BARRIOS EMERGENTES,6271
GCS Web,CALLES Y VEREDAS,5986
GCS Web,FISCALIZACIÓN ACTIVIDADES COMERCIALES,4965
GCS Web,LIMPIEZA Y RECOLECCIÓN,9227
GCS Web,ORDENAMIENTO DEL ESPACIO PÚBLICO,4986
GCS Web,RECICLADO Y PROTECCIÓN AMBIENTAL,5087
GCS Web,TRÁMITES Y SERVICIOS,5164
GCS Web,TRÁNSITO,8666
GCS Web,OTROS,33756
Mail 147,ALUMBRADO,284
Mail 147,ARBOLADO Y ESPACIOS VERDES,1059
Mail 147,BARRIOS EMERGENTES,1518
Mail 147,CALLES Y VEREDAS,1233
Mail 147,FISCALIZACIÓN ACTIVIDADES COMERCIALES,212
Mail 147,LIMPIEZA Y RECOLECCIÓN,4474
Mail 147,ORDENAMIENTO DEL ESPACIO PÚBLICO,233
Mail 147,RECICLADO Y PROTECCIÓN AMBIENTAL,334
Mail 147,TRÁMITES Y SERVICIOS,411
Mail 147,TRÁNSITO,3913
Mail 147,OTROS,485
Operador GCBA,ALUMBRADO,303
Operador GCBA,ARBOLADO Y ESPACIOS VERDES,1078
Operador GCBA,BARRIOS EMERGENTES,1537
Operador GCBA,CALLES Y VEREDAS,1252
Operador GCBA,FISCALIZACIÓN ACTIVIDADES COMERCIALES,231
Operador GCBA,LIMPIEZA Y RECOLECCIÓN,4493
Operador GCBA,ORDENAMIENTO DEL ESPACIO PÚBLICO,252
Operador GCBA,RECICLADO Y PROTECCIÓN AMBIENTAL,353
Operador GCBA,TRÁMITES Y SERVICIOS,430
Operador GCBA,TRÁNSITO,3932
Operador GCBA,OTROS,618
Operador UGIS,ALUMBRADO,1774
Operador UGIS,ARBOLADO Y ESPACIOS VERDES,2549
Operador UGIS,BARRIOS EMERGENTES,3008
Operador UGIS,CALLES Y VEREDAS,2723
Operador UGIS,FISCALIZACIÓN ACTIVIDADES COMERCIALES,1702
Operador UGIS,LIMPIEZA Y RECOLECCIÓN,5964
Operador UGIS,ORDENAMIENTO DEL ESPACIO PÚBLICO,1723
Operador UGIS,RECICLADO Y PROTECCIÓN AMBIENTAL,1824
Operador UGIS,TRÁMITES Y SERVICIOS,1901
Operador UGIS,TRÁNSITO,5403
Operador UGIS,OTROS,10915
