categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;hora_redondeada;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto;tiempo_de_cierre;Column1
ALUMBRADO;VEHÍCULOS ABANDONADOS;REMOCIÓN DE VEHÍCULO / AUTO ABANDONADO;SOLICITUD;1/1/2021;11:57:25 PM;00:00:00;12;VILLA URQUIZA;AIZPURUA;2756;-34.57618962;-58.49689465;GCS Web;Femenino;Cerrado;05/01/2021;10:19:01 AM;4;
ALUMBRADO;REPARACIÓN DE LUMINARIA;REPARACIÓN DE LUMINARIA APAGADA DURANTE LA NOCHE;SOLICITUD;1/1/2021;11:54:31 PM;00:00:00;10;VILLA REAL;MORAN; PEDRO;5350;-34.61285182;-58.52787083;GCS Web;Femenino;Cerrado;22/01/2021;1:20:33 PM;21;
ALUMBRADO;HABILITACIONES Y PERMISOS;ESTABLECIMIENTO SIN HABILITACIÓN;DENUNCIA;2/1/2021;12:09:21 AM;00:00:00;9;PARQUE AVELLANEDA;SANTANDER;3736;-34.65398558;-58.46496303;GCS Web;Femenino;Cerrado;29/03/2021;12:55:51 PM;86;
ARBOLADO Y ESPACIOS VERDES;CESTOS Y CONTENEDORES;VACIADO DE CONTENEDOR;QUEJA;2/1/2021;12:13:33 AM;00:00:00;12;VILLA URQUIZA;BARZANA;2175;-34.57849685;-58.48830923;App BA 147;Femenino;Cerrado;10/02/2021;11:26:27 AM;39;
ARBOLADO Y ESPACIOS VERDES;EVALUACIÓN AMBIENTAL;REPARACIÓN DE LUMINARIA POR ARTEFACTO ROTO;SOLICITUD;2/1/2021;11:45:33 PM;00:00:00;1;PUERTO MADERO;RAWSON DE DELLEPIANE; ELVIRA AV.;217;-34.62355473;-58.3618026;App BA 147;Masculino;Cerrado;24/02/2021;4:23:06 PM;53;
ARBOLADO Y ESPACIOS VERDES;CESTOS Y CONTENEDORES;REUBICACIÓN DE CONTENEDOR;SOLICITUD;2/1/2021;11:51:02 PM;00:00:00;15;VILLA CRESPO;ESCALADA DE SAN MARTIN; R.;850;-34.60330446;-58.45462732;App BA 147;Femenino;Cerrado;04/01/2021;2:28:47 PM;2;
ARBOLADO Y ESPACIOS VERDES;LIMPIEZA DE VÍA PÚBLICA;RECOLECCIÓN DE RESIDUOS FUERA DEL CONTENEDOR;SOLICITUD;1/1/2021;11:46:01 PM;00:00:00;7;FLORES;LACARRA AV.;2000;-34.65351929;-58.46461004;GCS Web;Femenino;Cerrado;04/01/2021;12:23:13 PM;3;
ARBOLADO Y ESPACIOS VERDES;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;SERVICIO;1/1/2021;11:59:17 PM;00:00:00;9;PARQUE AVELLANEDA;SAN PEDRO;4558;-34.64973147;-58.4813452;App BA 147;Femenino;Cerrado;04/01/2021;12:18:31 PM;3;
ARBOLADO Y ESPACIOS VERDES;RESIDUOS VOLUMINOSOS;RETIRO DE RESIDUOS VOLUMINOSOS (MUEBLES Y ELECTRODOMÉSTICOS);SERVICIO;2/1/2021;12:07:42 AM;00:00:00;1;MONSERRAT;SALTA;444;-34.6137388;-58.38314561;GCS Web;Masculino;Cerrado;04/01/2021;6:58:32 AM;2;
ARBOLADO Y ESPACIOS VERDES;CESTOS Y CONTENEDORES;REPARACIÓN DE CONTENEDOR;SOLICITUD;2/1/2021;12:09:23 AM;00:00:00;12;VILLA URQUIZA;VALDENEGRO;2910;-34.56780458;-58.48531295;App BA 147;Masculino;Cerrado;18/01/2021;3:49:53 PM;16;
ARBOLADO Y ESPACIOS VERDES;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;DENUNCIA;2/1/2021;11:58:39 PM;00:00:00;12;SAAVEDRA;BALBIN; RICARDO; DR. AV.;3981;-34.55469952;-58.48616097;App BA 147;Masculino;Cerrado;06/01/2021;8:33:18 AM;4;
ARBOLADO Y ESPACIOS VERDES;INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES);INCONVENIENTE CON EL SISTEMA PARA LA INSCRIPCIÓN DE DEFUNCIONES (CARGA HOSPITALES);QUEJA;2/1/2021;11:56:08 PM;00:00:00;;;;;;;GCS Web;Femenino;Abierto;;;;
BARRIOS EMERGENTES;REPARACIÓN DE LUMINARIA;REPARACIÓN DE LUMINARIA APAGADA DURANTE LA NOCHE;SOLICITUD;2/1/2021;12:12:09 AM;00:00:00;10;VELEZ SARSFIELD;GUALEGUAYCHU;200;-34.63233781;-58.48518302;GCS Web;Masculino;Cerrado;05/01/2021;12:54:52 PM;3;
CALLES Y VEREDAS;REPARACIÓN DE LUMINARIA;REPARACIÓN DE LUMINARIA APAGADA DURANTE LA NOCHE;SOLICITUD;2/1/2021;11:57:42 PM;00:00:00;3;BALVANERA;LARREA;420;-34.60433242;-58.40220992;GCS Web;Femenino;Cerrado;04/01/2021;10:17:40 AM;2;
CALLES Y VEREDAS;Obras;REGISTRO DE OBRAS Y CATASTRO;SERVICIO;4/1/2021;12:04:05 AM;00:00:00;4;PARQUE PATRICIOS;SALCEDO;2913;-34.63170369;-58.40547255;App BA 147;Femenino;Cerrado;05/01/2021;3:01:17 PM;1;
CALLES Y VEREDAS;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;SERVICIO;3/1/2021;12:01:49 AM;00:00:00;14;PALERMO;RAVIGNANI; EMILIO; DR.;2291;-34.57721357;-58.43410945;App BA 147;Masculino;Cerrado;05/01/2021;8:36:32 PM;2;
CALLES Y VEREDAS;LIMPIEZA DE VÍA PÚBLICA;RECOLECCIÓN DE RESIDUOS FUERA DEL CONTENEDOR;SOLICITUD;2/1/2021;12:09:47 AM;00:00:00;10;MONTE CASTRO;SANTO TOME;5545;-34.6239774;-58.5172225;App BA 147;Masculino;Cerrado;04/01/2021;12:25:04 PM;2;
CALLES Y VEREDAS;INCONVENIENTES CON TRÁMITES;INCONVENIENTES CON TRÁMITES;QUEJA;3/1/2021;11:54:50 PM;00:00:00;11;VILLA SANTA RITA;CUENCA;1571;-34.6157662;-58.48331892;GCS Web;Masculino;Abierto;;;;
CALLES Y VEREDAS;MAYOR ILUMINACIÓN EN CALLE;MAYOR ILUMINACIÓN EN CALLE / PLAZA;SOLICITUD;4/1/2021;12:00:36 AM;00:00:00;5;ALMAGRO;BILLINGHURST;227;-34.60808556;-58.41608183;App BA 147;Femenino;Cerrado;05/01/2021;7:32:03 PM;1;
CALLES Y VEREDAS;CESTOS Y CONTENEDORES;REPARACIÓN DE CONTENEDOR;SOLICITUD;3/1/2021;11:58:48 PM;00:00:00;8;VILLA RIACHUELO;PIEDRA BUENA AV.;4649;-34.6852622;-58.4784327;App BA 147;Femenino;Cerrado;08/01/2021;7:11:39 PM;5;
CONTROL EDILICIO; OBRAS Y CATASTRO;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;SERVICIO;3/1/2021;12:07:47 AM;00:00:00;6;CABALLITO;BOGOTA;863;-34.61761141;-58.44364305;App BA 147;Masculino;Cerrado;05/01/2021;11:47:18 AM;2;
CONTROL EDILICIO; OBRAS Y CATASTRO;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;SERVICIO;3/1/2021;12:09:20 AM;00:00:00;6;CABALLITO;BOGOTA;877;-34.61768107;-58.44381522;App BA 147;Masculino;Cerrado;05/01/2021;11:47:23 AM;2;
CONTROL EDILICIO; OBRAS Y CATASTRO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;DENUNCIA;3/1/2021;12:05:48 AM;00:00:00;2;RECOLETA;CHARCAS;3295;-34.59187348;-58.41211085;App Denuncia Vial;Masculino;Cerrado;06/01/2021;8:33:19 AM;3;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;SERVICIO;3/1/2021;11:45:26 PM;00:00:00;11;VILLA SANTA RITA;CUENCA;1571;-34.6157662;-58.48331892;App BA 147;Masculino;Cerrado;06/01/2021;12:24:35 AM;3;
LIMPIEZA Y RECOLECCIÓN;OTROS;MAYOR PRESENCIA POLICIAL;REPORTE;5/1/2021;12:01:47 AM;00:00:00;4;PARQUE PATRICIOS;GARCIA; MANUEL;178;-34.63758021;-58.39664902;App BA 147;Femenino;Abierto;;;;
LIMPIEZA Y RECOLECCIÓN;EDIFICIOS;FALTA DE CONSERVACIÓN DE FACHADA/BALCÓN;DENUNCIA;4/1/2021;12:05:39 AM;00:00:00;4;PARQUE PATRICIOS;SALCEDO;2913;-34.63170369;-58.40547255;App BA 147;Femenino;Cerrado;26/01/2021;4:43:21 PM;22;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE RESIDUOS VOLUMINOSOS (MUEBLES Y ELECTRODOMÉSTICOS);SERVICIO;4/1/2021;12:09:26 AM;00:00:00;3;BALVANERA;ALSINA; ADOLFO;1877;-34.61153331;-58.39284117;GCS Web;Femenino;Cerrado;04/01/2021;9:15:36 PM;;
LIMPIEZA Y RECOLECCIÓN;REPARACIÓN DE LUMINARIA;REPARACIÓN DE LUMINARIA APAGADA DURANTE LA NOCHE;SOLICITUD;4/1/2021;11:54:18 PM;00:00:00;9;LINIERS;EL CARPINTERO;6954;-34.64202763;-58.52415622;App BA 147;Femenino;Cerrado;07/01/2021;1:11:21 PM;3;
