categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;hora_redondeada;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto;Column1;_1
TRÁNSITO;DENUNCIA VIAL;CRUCE PELIGROSO O CALLE CON INCONVENIENTES VIALES;Reporte;20/6/2021;11:55:53 PM;00:00;1;SAN TELMO;PASEO COLON AV.;1398;-346.239.513.578.517;-583.679.626.439.331;App BA 147;Femenino;Abierto;;;;
MEDIOS DE TRANSPORTE;BICICLETAS;INCONVENIENTES CON EL RETIRO/DEVOLUCIÓN DE LA BICICLETA DE BA ECOBICI POR TEMBICI;Queja;15/6/2021;12:02:18 AM;00:00;1;SAN NICOLAS;;;-346.045.481;-583.767.677;GCS Web;Masculino;Abierto;;;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;15/6/2021;12:03:32 AM;00:00;6;CABALLITO;"SEGUI; F. J.; ALTE.";1187;-346.119.909.357.608;-5.845.770.752.552;GCS Web;Masculino;Cerrado;17/6/2021;10:22:23 AM;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;15/6/2021;12:00:54 AM;00:00;15;VILLA CRESPO;LAVALLEJA;24;-346.034.953.972.346;-584.385.410.090.432;Boti;Masculino;Cerrado;15/6/2021;5:00:55 PM;;
"CONTROL EDILICIO; OBRAS Y CATASTRO";EDIFICIOS;FALTA DE CONSERVACIÓN O MANTENIMIENTO DE FACHADA O BALCÓN;Denuncia;15/6/2021;12:03:13 AM;00:00;9;PARQUE AVELLANEDA;AZUL;724;-346.397.059.424.247;-584.723.744.692.047;GCS Web;Masculino;Cerrado;1/7/2021;12:46:49 PM;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE RESIDUOS VOLUMINOSOS (MUEBLES Y ELECTRODOMÉSTICOS);Servicio;15/6/2021;12:01:14 AM;00:00;12;VILLA URQUIZA;"RIVERA; PEDRO I.; DR.";5328;-345.735.786.114.737;-584.910.131.527.313;App BA 147;Masculino;Cerrado;16/6/2021;10:41:37 PM;;
ALUMBRADO;REPARACIÓN DE LUMINARIA;REPARACIÓN DE LUMINARIA APAGADA DURANTE LA NOCHE;Solicitud;15/6/2021;12:09:05 AM;00:00;1;SAN NICOLAS;"ALEM; LEANDRO N. AV.";62;-346.067.040.723.538;-583.703.790.855.877;GCS Web;Femenino;Cerrado;16/6/2021;2:13:50 PM;;
TRÁNSITO;DENUNCIA VIAL;VEHÍCULO MAL ESTACIONADO;Denuncia;15/6/2021;11:46:35 PM;00:00;13;NUÑEZ;11 DE SEPTIEMBRE DE 1888;;-345.432.671.346.549;-584.631.191.566.179;Boti;Masculino;Cerrado;16/6/2021;4:01:32 PM;;
TRÁMITES Y SERVICIOS;ACCESO A LA INFORMACIÓN PÚBLICA;ACCESO A LA INFORMACIÓN PÚBLICA;Solicitud;15/6/2021;11:50:50 PM;00:00;;;;;;;GCS Web;Femenino;Abierto;;;;
LIMPIEZA Y RECOLECCIÓN;RESIDUOS VOLUMINOSOS;RETIRO DE ESCOMBROS / RESTOS DE OBRA;Servicio;16/6/2021;12:01:10 AM;00:00;4;BARRACAS;RUY DIAZ DE GUZMAN;155;-346.322.751.035.456;-583.714.204.744.444;App BA 147;Masculino;Cerrado;16/6/2021;9:13:36 PM;;
